{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557663531165, u'lastChunkStartTime': 1557663529144, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 4238.6612903225805, u'RebufferTime': 2721, u'droppedFrames': None, u'lastChunkFinishTime': 1557663531128, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557663532588, u'lastChunkStartTime': 1557663531335, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 5480.759668089575, u'RebufferTime': 2721, u'droppedFrames': None, u'lastChunkFinishTime': 1557663532514, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557663533843, u'lastChunkStartTime': 1557663532708, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 6668.882629955036, u'RebufferTime': 2721, u'droppedFrames': None, u'lastChunkFinishTime': 1557663533740, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557663534901, u'lastChunkStartTime': 1557663533984, u'buffer': 15.635289, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 7591.985014200106, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 8, u'corruptedFrames': 0, u'time': 12722}, u'lastChunkFinishTime': 1557663534815, u'videoPlayed': 0.364711, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557663535464, u'lastChunkStartTime': 1557663535008, u'buffer': 19.051863, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 8064.278357818847, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 25, u'corruptedFrames': 0, u'time': 13293}, u'lastChunkFinishTime': 1557663535419, u'videoPlayed': 0.948137, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557663536115, u'lastChunkStartTime': 1557663535589, u'buffer': 22.472078000000003, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 17744.75212959393, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 41, u'corruptedFrames': 0, u'time': 13831}, u'lastChunkFinishTime': 1557663536055, u'videoPlayed': 1.594588, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557663536736, u'lastChunkStartTime': 1557663536232, u'buffer': 25.82874, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 25776.21886867281, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 65, u'corruptedFrames': 0, u'time': 14616}, u'lastChunkFinishTime': 1557663536640, u'videoPlayed': 2.204593, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557663537379, u'lastChunkStartTime': 1557663536858, u'buffer': 29.147599, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 30909.982398971137, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 81, u'corruptedFrames': 0, u'time': 15170}, u'lastChunkFinishTime': 1557663537326, u'videoPlayed': 2.852401, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557663538117, u'lastChunkStartTime': 1557663537503, u'buffer': 32.415887, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 34228.6181512425, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 107, u'corruptedFrames': 0, u'time': 16024}, u'lastChunkFinishTime': 1557663538045, u'videoPlayed': 3.627573, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557663538776, u'lastChunkStartTime': 1557663538227, u'buffer': 35.726559, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 35097.41137555789, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 124, u'corruptedFrames': 0, u'time': 16590}, u'lastChunkFinishTime': 1557663538677, u'videoPlayed': 4.273441, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557663539539, u'lastChunkStartTime': 1557663538905, u'buffer': 38.9936, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 34967.03143888074, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 150, u'corruptedFrames': 0, u'time': 17446}, u'lastChunkFinishTime': 1557663539476, u'videoPlayed': 5.039733, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557663540278, u'lastChunkStartTime': 1557663539696, u'buffer': 42.266667, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 34853.75896975829, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 166, u'corruptedFrames': 0, u'time': 18003}, u'lastChunkFinishTime': 1557663540213, u'videoPlayed': 5.766666, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557663540908, u'lastChunkStartTime': 1557663540408, u'buffer': 45.587378, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 34726.63517451694, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 192, u'corruptedFrames': 0, u'time': 18850}, u'lastChunkFinishTime': 1557663540853, u'videoPlayed': 6.412622, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557663541587, u'lastChunkStartTime': 1557663541026, u'buffer': 48.941338, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 34930.78904831253, u'RebufferTime': 2721, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 209, u'corruptedFrames': 0, u'time': 19415}, u'lastChunkFinishTime': 1557663541533, u'videoPlayed': 7.099472, u'Type': u'BB', u'lastChunkSize': 2142408}
