{u'decodedSeries': 9, u'videoSeries': 0.182898, u'presentedSeries': 5, u'presentedTime': 1557585546203, u'decodedTime': 1557585546203, u'fpsSeries': 3, u'fpsTime': 1557585546203}
{u'decodedSeries': 39, u'videoSeries': 1.147355, u'presentedSeries': 35, u'presentedTime': 1557585547203, u'decodedTime': 1557585547203, u'fpsSeries': 31, u'fpsTime': 1557585547203}
{u'decodedSeries': 69, u'videoSeries': 2.165378, u'presentedSeries': 64, u'presentedTime': 1557585548204, u'decodedTime': 1557585548204, u'fpsSeries': 57, u'fpsTime': 1557585548204}
{u'decodedSeries': 101, u'videoSeries': 3.216948, u'presentedSeries': 97, u'presentedTime': 1557585549298, u'decodedTime': 1557585549298, u'fpsSeries': 84, u'fpsTime': 1557585549298}
{u'decodedSeries': 132, u'videoSeries': 4.256778, u'presentedSeries': 119, u'presentedTime': 1557585550305, u'decodedTime': 1557585550305, u'fpsSeries': 106, u'fpsTime': 1557585550305}
{u'decodedSeries': 162, u'videoSeries': 5.283286, u'presentedSeries': 147, u'presentedTime': 1557585551315, u'decodedTime': 1557585551315, u'fpsSeries': 130, u'fpsTime': 1557585551315}
{u'decodedSeries': 193, u'videoSeries': 6.260298, u'presentedSeries': 178, u'presentedTime': 1557585552323, u'decodedTime': 1557585552323, u'fpsSeries': 158, u'fpsTime': 1557585552323}
{u'decodedSeries': 221, u'videoSeries': 7.290917, u'presentedSeries': 207, u'presentedTime': 1557585553331, u'decodedTime': 1557585553331, u'fpsSeries': 187, u'fpsTime': 1557585553331}
{u'decodedSeries': 252, u'videoSeries': 8.278117, u'presentedSeries': 237, u'presentedTime': 1557585554332, u'decodedTime': 1557585554332, u'fpsSeries': 212, u'fpsTime': 1557585554332}
{u'decodedSeries': 284, u'videoSeries': 9.2, u'presentedSeries': 263, u'presentedTime': 1557585555367, u'decodedTime': 1557585555367, u'fpsSeries': 236, u'fpsTime': 1557585555367}
{u'decodedSeries': 312, u'videoSeries': 10.233333, u'presentedSeries': 292, u'presentedTime': 1557585556411, u'decodedTime': 1557585556411, u'fpsSeries': 259, u'fpsTime': 1557585556411}
{u'decodedSeries': 345, u'videoSeries': 11.417923, u'presentedSeries': 323, u'presentedTime': 1557585557446, u'decodedTime': 1557585557436, u'fpsSeries': 280, u'fpsTime': 1557585557446}
{u'decodedSeries': 370, u'videoSeries': 12.333333, u'presentedSeries': 348, u'presentedTime': 1557585558437, u'decodedTime': 1557585558437, u'fpsSeries': 302, u'fpsTime': 1557585558437}
{u'decodedSeries': 406, u'videoSeries': 13.391533, u'presentedSeries': 373, u'presentedTime': 1557585559446, u'decodedTime': 1557585559446, u'fpsSeries': 321, u'fpsTime': 1557585559446}
