{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557581545035, u'lastChunkStartTime': 1557581544359, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 4998.385809312639, u'RebufferTime': 1129, u'droppedFrames': None, u'lastChunkFinishTime': 1557581544810, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 281784}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557581546062, u'lastChunkStartTime': 1557581545694, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 5926.606801433502, u'RebufferTime': 1129, u'droppedFrames': None, u'lastChunkFinishTime': 1557581545756, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 455965}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557581546790, u'lastChunkStartTime': 1557581546216, u'buffer': 11.393668, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 7567.397190937674, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 16, u'corruptedFrames': 0, u'time': 5081.785}, u'lastChunkFinishTime': 1557581546712, u'videoPlayed': 0.606332, u'Type': u'BB', u'lastChunkSize': 677564}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557581547537, u'lastChunkStartTime': 1557581546938, u'buffer': 14.648081999999999, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 8254.386151191115, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 36, u'corruptedFrames': 0, u'time': 5739.02}, u'lastChunkFinishTime': 1557581547372, u'videoPlayed': 1.385251, u'Type': u'BB', u'lastChunkSize': 573374}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557581548328, u'lastChunkStartTime': 1557581547704, u'buffer': 17.9, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 8612.48253025639, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 58, u'corruptedFrames': 0, u'time': 6558.51}, u'lastChunkFinishTime': 1557581548190, u'videoPlayed': 2.1, u'Type': u'BB', u'lastChunkSize': 602914}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557581548949, u'lastChunkStartTime': 1557581548463, u'buffer': 21.312792, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 10918.201371752719, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 4, u'totalFrames': 77, u'corruptedFrames': 0, u'time': 7096.46}, u'lastChunkFinishTime': 1557581548839, u'videoPlayed': 2.794806, u'Type': u'BB', u'lastChunkSize': 503070}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557581549743, u'lastChunkStartTime': 1557581549316, u'buffer': 24.566666, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 11024.571688718008, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 104, u'corruptedFrames': 0, u'time': 8017.165}, u'lastChunkFinishTime': 1557581549592, u'videoPlayed': 3.566666, u'Type': u'BB', u'lastChunkSize': 559006}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557581550495, u'lastChunkStartTime': 1557581549983, u'buffer': 27.690915, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 11295.970062922179, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 130, u'corruptedFrames': 0, u'time': 8871.515}, u'lastChunkFinishTime': 1557581550361, u'videoPlayed': 4.354162, u'Type': u'BB', u'lastChunkSize': 586878}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557581551277, u'lastChunkStartTime': 1557581550641, u'buffer': 30.966667, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 10434.92070301844, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 13, u'totalFrames': 152, u'corruptedFrames': 0, u'time': 9637.630000000001}, u'lastChunkFinishTime': 1557581551204, u'videoPlayed': 5.033333, u'Type': u'BB', u'lastChunkSize': 585505}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557581552001, u'lastChunkStartTime': 1557581551460, u'buffer': 34.266667, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 10671.119362099422, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 18, u'totalFrames': 172, u'corruptedFrames': 0, u'time': 10322.42}, u'lastChunkFinishTime': 1557581551890, u'videoPlayed': 5.8, u'Type': u'BB', u'lastChunkSize': 587926}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557581552789, u'lastChunkStartTime': 1557581552227, u'buffer': 37.449282, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 11003.551079262, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 195, u'corruptedFrames': 0, u'time': 11050.665}, u'lastChunkFinishTime': 1557581552614, u'videoPlayed': 6.6, u'Type': u'BB', u'lastChunkSize': 615814}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557581553551, u'lastChunkStartTime': 1557581552967, u'buffer': 40.677822, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 10650.939420395316, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 213, u'corruptedFrames': 0, u'time': 11635.545}, u'lastChunkFinishTime': 1557581553421, u'videoPlayed': 7.399001, u'Type': u'BB', u'lastChunkSize': 646284}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557581554126, u'lastChunkStartTime': 1557581553724, u'buffer': 44.025233, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 10520.717967820538, u'RebufferTime': 1129, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 239, u'corruptedFrames': 0, u'time': 12493.275}, u'lastChunkFinishTime': 1557581554060, u'videoPlayed': 7.974767, u'Type': u'BB', u'lastChunkSize': 486427}
