{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557733692085, u'lastChunkStartTime': 1557733688220, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 2196.2663880908854, u'RebufferTime': 4196, u'droppedFrames': None, u'lastChunkFinishTime': 1557733692049, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557733694173, u'lastChunkStartTime': 1557733692343, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 2816.790890215646, u'RebufferTime': 4196, u'droppedFrames': None, u'lastChunkFinishTime': 1557733694132, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557733697264, u'lastChunkStartTime': 1557733694298, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 3541.1962522117933, u'RebufferTime': 4196, u'droppedFrames': None, u'lastChunkFinishTime': 1557733697061, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557733699864, u'lastChunkStartTime': 1557733697389, u'buffer': 13.852640000000001, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 4080.2712101731076, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 58, u'corruptedFrames': 0, u'time': 18072}, u'lastChunkFinishTime': 1557733699761, u'videoPlayed': 2.14736, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557733701344, u'lastChunkStartTime': 1557733700011, u'buffer': 16.380744, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 4367.808890365253, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 108, u'corruptedFrames': 0, u'time': 19745}, u'lastChunkFinishTime': 1557733701263, u'videoPlayed': 3.659675, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557733702825, u'lastChunkStartTime': 1557733701467, u'buffer': 18.949785000000002, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 8457.129497763139, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 151, u'corruptedFrames': 0, u'time': 21161}, u'lastChunkFinishTime': 1557733702781, u'videoPlayed': 5.116881, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557733703998, u'lastChunkStartTime': 1557733702943, u'buffer': 21.746957, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 9325.80088589824, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 184, u'corruptedFrames': 0, u'time': 22290}, u'lastChunkFinishTime': 1557733703942, u'videoPlayed': 6.286376, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557733704969, u'lastChunkStartTime': 1557733704151, u'buffer': 24.745438, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 11236.625029261066, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 210, u'corruptedFrames': 0, u'time': 23138}, u'lastChunkFinishTime': 1557733704913, u'videoPlayed': 7.254562, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557733706192, u'lastChunkStartTime': 1557733705091, u'buffer': 27.535533, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 13821.454692403124, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 252, u'corruptedFrames': 0, u'time': 24549}, u'lastChunkFinishTime': 1557733706138, u'videoPlayed': 8.50525, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557733707967, u'lastChunkStartTime': 1557733706336, u'buffer': 29.880041, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 15251.232281075945, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 303, u'corruptedFrames': 0, u'time': 26245}, u'lastChunkFinishTime': 1557733707387, u'videoPlayed': 10.280981, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557733712135, u'lastChunkStartTime': 1557733708096, u'buffer': 29.678797, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 17567.53159645279, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 430, u'corruptedFrames': 0, u'time': 30479}, u'lastChunkFinishTime': 1557733709083, u'videoPlayed': 14.435304, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557733715956, u'lastChunkStartTime': 1557733712325, u'buffer': 29.995773, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 18068.257090931114, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 541, u'corruptedFrames': 0, u'time': 34162}, u'lastChunkFinishTime': 1557733713387, u'videoPlayed': 18.239503, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557733720238, u'lastChunkStartTime': 1557733716086, u'buffer': 29.475042, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 18322.37927458136, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 675, u'corruptedFrames': 0, u'time': 38650}, u'lastChunkFinishTime': 1557733716653, u'videoPlayed': 22.524958, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557733724142, u'lastChunkStartTime': 1557733720353, u'buffer': 29.819607, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 17448.001313001507, u'RebufferTime': 4196, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 783, u'corruptedFrames': 0, u'time': 42305}, u'lastChunkFinishTime': 1557733721540, u'videoPlayed': 26.422697, u'Type': u'BB', u'lastChunkSize': 2142408}
