{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557663022923, u'lastChunkStartTime': 1557663020861, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 4245.08026249369, u'RebufferTime': 2816, u'droppedFrames': None, u'lastChunkFinishTime': 1557663022842, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557663025135, u'lastChunkStartTime': 1557663023043, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 5096.439318251455, u'RebufferTime': 2816, u'droppedFrames': None, u'lastChunkFinishTime': 1557663025049, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557663027880, u'lastChunkStartTime': 1557663025268, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 5975.747876694777, u'RebufferTime': 2816, u'droppedFrames': None, u'lastChunkFinishTime': 1557663027748, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557663030138, u'lastChunkStartTime': 1557663028015, u'buffer': 14.29616, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 6638.085411572222, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 51, u'corruptedFrames': 0, u'time': 15776}, u'lastChunkFinishTime': 1557663030069, u'videoPlayed': 1.744411, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557663031402, u'lastChunkStartTime': 1557663030273, u'buffer': 16.998362, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 7019.86852817919, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 85, u'corruptedFrames': 0, u'time': 16909}, u'lastChunkFinishTime': 1557663031340, u'videoPlayed': 3.001638, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557663032573, u'lastChunkStartTime': 1557663031552, u'buffer': 19.8884, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 8903.985057796159, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 119, u'corruptedFrames': 0, u'time': 18038}, u'lastChunkFinishTime': 1557663032538, u'videoPlayed': 4.178266, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557663033502, u'lastChunkStartTime': 1557663032690, u'buffer': 22.957067, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 10722.474036849113, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 152, u'corruptedFrames': 0, u'time': 19146}, u'lastChunkFinishTime': 1557663033442, u'videoPlayed': 5.076266, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557663034336, u'lastChunkStartTime': 1557663033625, u'buffer': 26.073000999999998, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 13423.696341167351, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 177, u'corruptedFrames': 0, u'time': 19995}, u'lastChunkFinishTime': 1557663034273, u'videoPlayed': 5.926999, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557663035184, u'lastChunkStartTime': 1557663034447, u'buffer': 29.22092, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 17630.10939818832, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 203, u'corruptedFrames': 0, u'time': 20838}, u'lastChunkFinishTime': 1557663035115, u'videoPlayed': 6.77908, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557663036057, u'lastChunkStartTime': 1557663035345, u'buffer': 32.361307, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 21172.46259279969, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 227, u'corruptedFrames': 0, u'time': 21666}, u'lastChunkFinishTime': 1557663035959, u'videoPlayed': 7.638693, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557663036770, u'lastChunkStartTime': 1557663036179, u'buffer': 35.656974, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 26195.721954968278, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 243, u'corruptedFrames': 0, u'time': 22200}, u'lastChunkFinishTime': 1557663036698, u'videoPlayed': 8.376359, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557663037494, u'lastChunkStartTime': 1557663036894, u'buffer': 38.941895, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 29387.65318905914, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 269, u'corruptedFrames': 0, u'time': 23038}, u'lastChunkFinishTime': 1557663037416, u'videoPlayed': 9.091438, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557663038208, u'lastChunkStartTime': 1557663037644, u'buffer': 42.215038, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 30990.791063048808, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 286, u'corruptedFrames': 0, u'time': 23608}, u'lastChunkFinishTime': 1557663038121, u'videoPlayed': 9.784962, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557663038897, u'lastChunkStartTime': 1557663038325, u'buffer': 45.508375, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 32985.067529049775, u'RebufferTime': 2816, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 311, u'corruptedFrames': 0, u'time': 24437}, u'lastChunkFinishTime': 1557663038818, u'videoPlayed': 10.491625, u'Type': u'BB', u'lastChunkSize': 2142408}
