{u'decodedSeries': 16, u'videoSeries': 0.214058, u'presentedSeries': 12, u'presentedTime': 1557574964776, u'decodedTime': 1557574964776, u'fpsSeries': 10, u'fpsTime': 1557574964776}
{u'decodedSeries': 46, u'videoSeries': 1.389612, u'presentedSeries': 42, u'presentedTime': 1557574965777, u'decodedTime': 1557574965777, u'fpsSeries': 38, u'fpsTime': 1557574965777}
{u'decodedSeries': 77, u'videoSeries': 2.348642, u'presentedSeries': 73, u'presentedTime': 1557574966801, u'decodedTime': 1557574966801, u'fpsSeries': 68, u'fpsTime': 1557574966801}
{u'decodedSeries': 106, u'videoSeries': 3.416451, u'presentedSeries': 103, u'presentedTime': 1557574967808, u'decodedTime': 1557574967808, u'fpsSeries': 97, u'fpsTime': 1557574967808}
{u'decodedSeries': 137, u'videoSeries': 4.450315, u'presentedSeries': 132, u'presentedTime': 1557574968812, u'decodedTime': 1557574968812, u'fpsSeries': 125, u'fpsTime': 1557574968812}
{u'decodedSeries': 168, u'videoSeries': 5.417548, u'presentedSeries': 163, u'presentedTime': 1557574969834, u'decodedTime': 1557574969834, u'fpsSeries': 155, u'fpsTime': 1557574969835}
{u'decodedSeries': 198, u'videoSeries': 6.465414, u'presentedSeries': 193, u'presentedTime': 1557574970835, u'decodedTime': 1557574970835, u'fpsSeries': 185, u'fpsTime': 1557574970835}
{u'decodedSeries': 227, u'videoSeries': 7.466666, u'presentedSeries': 223, u'presentedTime': 1557574971836, u'decodedTime': 1557574971836, u'fpsSeries': 213, u'fpsTime': 1557574971836}
{u'decodedSeries': 258, u'videoSeries': 8.466666, u'presentedSeries': 253, u'presentedTime': 1557574972836, u'decodedTime': 1557574972836, u'fpsSeries': 244, u'fpsTime': 1557574972836}
{u'decodedSeries': 288, u'videoSeries': 9.462161, u'presentedSeries': 283, u'presentedTime': 1557574973836, u'decodedTime': 1557574973836, u'fpsSeries': 269, u'fpsTime': 1557574973836}
{u'decodedSeries': 318, u'videoSeries': 10.449159, u'presentedSeries': 313, u'presentedTime': 1557574974837, u'decodedTime': 1557574974837, u'fpsSeries': 298, u'fpsTime': 1557574974837}
{u'decodedSeries': 348, u'videoSeries': 11.454211, u'presentedSeries': 343, u'presentedTime': 1557574975838, u'decodedTime': 1557574975838, u'fpsSeries': 328, u'fpsTime': 1557574975838}
{u'decodedSeries': 378, u'videoSeries': 12.469623, u'presentedSeries': 373, u'presentedTime': 1557574976838, u'decodedTime': 1557574976837, u'fpsSeries': 358, u'fpsTime': 1557574976838}
{u'decodedSeries': 408, u'videoSeries': 13.455488, u'presentedSeries': 403, u'presentedTime': 1557574977838, u'decodedTime': 1557574977838, u'fpsSeries': 388, u'fpsTime': 1557574977838}
{u'decodedSeries': 438, u'videoSeries': 14.488481, u'presentedSeries': 433, u'presentedTime': 1557574978839, u'decodedTime': 1557574978839, u'fpsSeries': 418, u'fpsTime': 1557574978839}
{u'decodedSeries': 468, u'videoSeries': 15.448215, u'presentedSeries': 463, u'presentedTime': 1557574979841, u'decodedTime': 1557574979841, u'fpsSeries': 448, u'fpsTime': 1557574979841}
{u'decodedSeries': 498, u'videoSeries': 16.453763, u'presentedSeries': 493, u'presentedTime': 1557574980841, u'decodedTime': 1557574980841, u'fpsSeries': 477, u'fpsTime': 1557574980841}
{u'decodedSeries': 528, u'videoSeries': 17.488436, u'presentedSeries': 523, u'presentedTime': 1557574981842, u'decodedTime': 1557574981842, u'fpsSeries': 507, u'fpsTime': 1557574981842}
{u'decodedSeries': 558, u'videoSeries': 18.486112, u'presentedSeries': 553, u'presentedTime': 1557574982843, u'decodedTime': 1557574982843, u'fpsSeries': 536, u'fpsTime': 1557574982843}
{u'decodedSeries': 588, u'videoSeries': 19.493551, u'presentedSeries': 583, u'presentedTime': 1557574983844, u'decodedTime': 1557574983844, u'fpsSeries': 566, u'fpsTime': 1557574983844}
{u'decodedSeries': 618, u'videoSeries': 20.39151, u'presentedSeries': 614, u'presentedTime': 1557574984850, u'decodedTime': 1557574984850, u'fpsSeries': 595, u'fpsTime': 1557574984850}
{u'decodedSeries': 648, u'videoSeries': 21.468695, u'presentedSeries': 644, u'presentedTime': 1557574985851, u'decodedTime': 1557574985851, u'fpsSeries': 625, u'fpsTime': 1557574985851}
{u'decodedSeries': 678, u'videoSeries': 22.466006, u'presentedSeries': 674, u'presentedTime': 1557574986852, u'decodedTime': 1557574986852, u'fpsSeries': 654, u'fpsTime': 1557574986852}
{u'decodedSeries': 708, u'videoSeries': 23.497438, u'presentedSeries': 704, u'presentedTime': 1557574987856, u'decodedTime': 1557574987856, u'fpsSeries': 684, u'fpsTime': 1557574987856}
{u'decodedSeries': 741, u'videoSeries': 24.485985, u'presentedSeries': 737, u'presentedTime': 1557574988959, u'decodedTime': 1557574988959, u'fpsSeries': 717, u'fpsTime': 1557574988959}
{u'decodedSeries': 772, u'videoSeries': 25.590926, u'presentedSeries': 767, u'presentedTime': 1557574989960, u'decodedTime': 1557574989960, u'fpsSeries': 745, u'fpsTime': 1557574989960}
{u'decodedSeries': 802, u'videoSeries': 26.590028, u'presentedSeries': 797, u'presentedTime': 1557574990967, u'decodedTime': 1557574990967, u'fpsSeries': 775, u'fpsTime': 1557574990967}
{u'decodedSeries': 832, u'videoSeries': 27.602066, u'presentedSeries': 827, u'presentedTime': 1557574991963, u'decodedTime': 1557574991963, u'fpsSeries': 804, u'fpsTime': 1557574991963}
{u'decodedSeries': 865, u'videoSeries': 28.605145, u'presentedSeries': 860, u'presentedTime': 1557574993070, u'decodedTime': 1557574993070, u'fpsSeries': 838, u'fpsTime': 1557574993070}
{u'decodedSeries': 895, u'videoSeries': 29.68484, u'presentedSeries': 890, u'presentedTime': 1557574994071, u'decodedTime': 1557574994071, u'fpsSeries': 868, u'fpsTime': 1557574994071}
{u'decodedSeries': 925, u'videoSeries': 30.685151, u'presentedSeries': 920, u'presentedTime': 1557574995073, u'decodedTime': 1557574995073, u'fpsSeries': 897, u'fpsTime': 1557574995073}
{u'decodedSeries': 955, u'videoSeries': 31.721362, u'presentedSeries': 950, u'presentedTime': 1557574996074, u'decodedTime': 1557574996074, u'fpsSeries': 927, u'fpsTime': 1557574996074}
{u'decodedSeries': 987, u'videoSeries': 32.712536, u'presentedSeries': 982, u'presentedTime': 1557574997139, u'decodedTime': 1557574997139, u'fpsSeries': 958, u'fpsTime': 1557574997139}
{u'decodedSeries': 1017, u'videoSeries': 33.760715, u'presentedSeries': 1005, u'presentedTime': 1557574998139, u'decodedTime': 1557574998139, u'fpsSeries': 981, u'fpsTime': 1557574998139}
{u'decodedSeries': 1047, u'videoSeries': 34.759633, u'presentedSeries': 1035, u'presentedTime': 1557574999140, u'decodedTime': 1557574999140, u'fpsSeries': 1011, u'fpsTime': 1557574999140}
{u'decodedSeries': 1076, u'videoSeries': 35.756941, u'presentedSeries': 1065, u'presentedTime': 1557575000141, u'decodedTime': 1557575000141, u'fpsSeries': 1040, u'fpsTime': 1557575000141}
{u'decodedSeries': 1107, u'videoSeries': 36.793146, u'presentedSeries': 1095, u'presentedTime': 1557575001141, u'decodedTime': 1557575001141, u'fpsSeries': 1070, u'fpsTime': 1557575001141}
{u'decodedSeries': 1137, u'videoSeries': 37.779135, u'presentedSeries': 1125, u'presentedTime': 1557575002141, u'decodedTime': 1557575002141, u'fpsSeries': 1098, u'fpsTime': 1557575002141}
{u'decodedSeries': 1167, u'videoSeries': 38.757738, u'presentedSeries': 1155, u'presentedTime': 1557575003142, u'decodedTime': 1557575003142, u'fpsSeries': 1127, u'fpsTime': 1557575003142}
{u'decodedSeries': 1197, u'videoSeries': 39.757777, u'presentedSeries': 1185, u'presentedTime': 1557575004142, u'decodedTime': 1557575004142, u'fpsSeries': 1157, u'fpsTime': 1557575004142}
{u'decodedSeries': 1227, u'videoSeries': 40.784489, u'presentedSeries': 1215, u'presentedTime': 1557575005142, u'decodedTime': 1557575005142, u'fpsSeries': 1187, u'fpsTime': 1557575005142}
{u'decodedSeries': 1257, u'videoSeries': 41.787792, u'presentedSeries': 1245, u'presentedTime': 1557575006143, u'decodedTime': 1557575006143, u'fpsSeries': 1217, u'fpsTime': 1557575006143}
{u'decodedSeries': 1287, u'videoSeries': 42.778671, u'presentedSeries': 1275, u'presentedTime': 1557575007143, u'decodedTime': 1557575007143, u'fpsSeries': 1247, u'fpsTime': 1557575007143}
{u'decodedSeries': 1317, u'videoSeries': 43.765208, u'presentedSeries': 1305, u'presentedTime': 1557575008143, u'decodedTime': 1557575008143, u'fpsSeries': 1277, u'fpsTime': 1557575008143}
{u'decodedSeries': 1347, u'videoSeries': 44.783954, u'presentedSeries': 1335, u'presentedTime': 1557575009144, u'decodedTime': 1557575009144, u'fpsSeries': 1306, u'fpsTime': 1557575009144}
{u'decodedSeries': 1377, u'videoSeries': 45.760534, u'presentedSeries': 1365, u'presentedTime': 1557575010144, u'decodedTime': 1557575010144, u'fpsSeries': 1335, u'fpsTime': 1557575010144}
{u'decodedSeries': 1407, u'videoSeries': 46.785356, u'presentedSeries': 1395, u'presentedTime': 1557575011144, u'decodedTime': 1557575011144, u'fpsSeries': 1365, u'fpsTime': 1557575011144}
{u'decodedSeries': 1437, u'videoSeries': 47.790537, u'presentedSeries': 1425, u'presentedTime': 1557575012145, u'decodedTime': 1557575012145, u'fpsSeries': 1394, u'fpsTime': 1557575012145}
{u'decodedSeries': 1467, u'videoSeries': 48.788145, u'presentedSeries': 1453, u'presentedTime': 1557575013147, u'decodedTime': 1557575013147, u'fpsSeries': 1421, u'fpsTime': 1557575013147}
{u'decodedSeries': 1497, u'videoSeries': 49.78204, u'presentedSeries': 1483, u'presentedTime': 1557575014147, u'decodedTime': 1557575014147, u'fpsSeries': 1451, u'fpsTime': 1557575014147}
{u'decodedSeries': 1527, u'videoSeries': 50.784778, u'presentedSeries': 1514, u'presentedTime': 1557575015150, u'decodedTime': 1557575015150, u'fpsSeries': 1481, u'fpsTime': 1557575015150}
{u'decodedSeries': 1558, u'videoSeries': 51.787885, u'presentedSeries': 1544, u'presentedTime': 1557575016167, u'decodedTime': 1557575016167, u'fpsSeries': 1511, u'fpsTime': 1557575016167}
{u'decodedSeries': 1587, u'videoSeries': 52.776188, u'presentedSeries': 1574, u'presentedTime': 1557575017156, u'decodedTime': 1557575017156, u'fpsSeries': 1540, u'fpsTime': 1557575017156}
{u'decodedSeries': 1618, u'videoSeries': 53.791096, u'presentedSeries': 1604, u'presentedTime': 1557575018156, u'decodedTime': 1557575018156, u'fpsSeries': 1570, u'fpsTime': 1557575018156}
{u'decodedSeries': 1648, u'videoSeries': 54.8, u'presentedSeries': 1634, u'presentedTime': 1557575019158, u'decodedTime': 1557575019158, u'fpsSeries': 1600, u'fpsTime': 1557575019158}
